iter	Passed	Remaining
702	4335	1831
703	4342	1825
704	4349	1819
705	4356	1814
706	4364	1808
707	4374	1804
708	4381	1798
709	4389	1792
710	4397	1787
711	4405	1782
712	4413	1776
713	4420	1770
714	4427	1764
715	4434	1758
716	4440	1752
717	4447	1746
718	4454	1741
719	4461	1735
720	4468	1729
721	4475	1723
722	4482	1717
723	4489	1711
724	4496	1705
725	4502	1699
726	4510	1693
727	4517	1687
728	4524	1681
729	4531	1676
730	4538	1669
731	4545	1664
732	4552	1658
733	4559	1652
734	4567	1646
735	4574	1640
736	4581	1634
737	4588	1629
738	4595	1623
739	4602	1617
740	4609	1611
741	4617	1605
742	4625	1599
743	4632	1594
744	4639	1588
745	4646	1582
746	4653	1576
747	4660	1570
748	4667	1564
749	4674	1558
750	4680	1552
751	4687	1545
752	4694	1539
753	4701	1533
754	4708	1527
755	4716	1522
756	4723	1516
757	4730	1510
758	4737	1504
759	4744	1498
760	4752	1492
761	4759	1486
762	4765	1480
763	4773	1474
764	4780	1468
765	4787	1462
766	4794	1456
767	4801	1450
768	4808	1444
769	4815	1438
770	4823	1432
771	4830	1426
772	4836	1420
773	4844	1414
774	4851	1408
775	4858	1402
776	4865	1396
777	4872	1390
778	4879	1384
779	4886	1378
780	4894	1372
781	4901	1366
782	4908	1360
783	4915	1354
784	4921	1348
785	4928	1341
786	4935	1335
787	4942	1329
788	4948	1323
789	4955	1317
790	4963	1311
791	4969	1305
792	4976	1299
793	4984	1293
794	4991	1287
795	4997	1280
796	5004	1274
797	5011	1268
798	5017	1262
799	5024	1256
800	5032	1250
801	5039	1244
802	5046	1238
803	5053	1231
804	5060	1225
805	5067	1219
806	5074	1213
807	5080	1207
808	5088	1201
809	5095	1195
810	5102	1189
811	5108	1182
812	5116	1176
813	5122	1170
814	5130	1164
815	5137	1158
816	5144	1152
817	5151	1146
818	5158	1139
819	5164	1133
820	5171	1127
821	5178	1121
822	5185	1115
823	5192	1109
824	5199	1102
825	5206	1096
826	5212	1090
827	5219	1084
828	5226	1078
829	5233	1071
830	5240	1065
831	5247	1059
832	5253	1053
833	5261	1047
834	5268	1041
835	5275	1034
836	5282	1028
837	5289	1022
838	5296	1016
839	5303	1010
840	5310	1004
841	5317	997
842	5324	991
843	5331	985
844	5338	979
845	5345	973
846	5352	966
847	5359	960
848	5366	954
849	5373	948
850	5380	942
851	5387	935
852	5394	929
853	5402	923
854	5409	917
855	5416	911
856	5423	904
857	5430	898
858	5437	892
859	5444	886
860	5451	880
861	5458	873
862	5465	867
863	5472	861
864	5479	855
865	5486	848
866	5493	842
867	5500	836
868	5507	830
869	5514	823
870	5520	817
871	5528	811
872	5535	805
873	5542	799
874	5549	792
875	5555	786
876	5562	780
877	5569	773
878	5576	767
879	5583	761
880	5590	755
881	5597	748
882	5603	742
883	5610	736
884	5617	730
885	5625	723
886	5631	717
887	5638	711
888	5644	704
889	5651	698
890	5658	692
891	5665	686
892	5672	679
893	5679	673
894	5686	667
895	5692	660
896	5699	654
897	5706	648
898	5713	641
899	5720	635
900	5727	629
901	5734	623
902	5741	616
903	5748	610
904	5755	604
905	5761	597
906	5768	591
907	5775	585
908	5781	578
909	5788	572
910	5795	566
911	5802	559
912	5809	553
913	5816	547
914	5824	541
915	5830	534
916	5837	528
917	5844	522
918	5851	515
919	5858	509
920	5865	503
921	5871	496
922	5878	490
923	5884	484
924	5891	477
925	5898	471
926	5904	464
927	5911	458
928	5918	452
929	5925	446
930	5932	439
931	5938	433
932	5945	426
933	5952	420
934	5958	414
935	5965	407
936	5972	401
937	5979	395
938	5986	388
939	5993	382
940	6001	376
941	6009	369
942	6016	363
943	6023	357
944	6030	350
945	6037	344
946	6045	338
947	6052	331
948	6060	325
949	6067	319
950	6074	312
951	6081	306
952	6088	300
953	6095	293
954	6102	287
955	6110	281
956	6117	274
957	6124	268
958	6131	262
959	6138	255
960	6145	249
961	6152	243
962	6159	236
963	6166	230
964	6173	223
965	6180	217
966	6187	211
967	6195	204
968	6202	198
969	6209	192
970	6216	185
971	6223	179
972	6231	172
973	6239	166
974	6246	160
975	6253	153
976	6260	147
977	6266	140
978	6273	134
979	6280	128
980	6288	121
981	6295	115
982	6302	108
983	6310	102
984	6318	96
985	6326	89
986	6333	83
987	6341	77
988	6347	70
989	6355	64
990	6362	57
991	6370	51
992	6377	44
993	6384	38
994	6391	32
995	6399	25
996	6407	19
997	6414	12
998	6422	6
999	6429	0
